Time,Radius
0.001999378204345703,197
0.001998424530029297,145
0.001001596450805664,196
0.0009996891021728516,133
0.002003192901611328,141
0.0051081180572509766,113
0.0035660266876220703,104
0.003000497817993164,102
0.005008220672607422,74
0.0069997310638427734,57
0.01050257682800293,85
0.006437063217163086,85
0.0060002803802490234,68
0.009000301361083984,76
0.01199960708618164,44
0.015642166137695312,65
0.009513139724731445,68
0.010092735290527344,60
0.014003515243530273,46
0.02100539207458496,47
0.01399993896484375,61
0.011575460433959961,71
0.01300048828125,44
0.021001338958740234,40
0.03543996810913086,48
0.02156662940979004,55
0.018733501434326172,50
0.019004106521606445,71
0.02850651741027832,38
0.04300260543823242,40
0.02995157241821289,48
0.01900649070739746,86
0.023000001907348633,31
0.03859090805053711,45
0.04351234436035156,45
0.03350543975830078,67
0.03099656105041504,36
0.06891226768493652,57
0.03875231742858887,31
0.03650951385498047,27
